instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
all-meshes-CVIU11-pattern1-target153 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target154 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target155 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target156 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target157 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target158 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target159 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target16 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target160 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target161 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target162 13 0 1 1 1 1 3 1 1 1 5 5 4
all-meshes-CVIU11-pattern1-target163 13 0 1 1 1 1 3 1 1 1 4 4 3
all-meshes-CVIU11-pattern1-target164 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target165 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target166 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target167 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target168 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target169 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target17 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target170 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target171 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target172 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target173 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target174 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target175 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target176 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target177 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target178 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target179 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target18 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target180 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target181 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target182 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target184 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target185 13 0 1 1 1 1 3 1 1 1 8 7 9
all-meshes-CVIU11-pattern1-target186 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target187 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target188 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target189 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target19 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target190 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target191 13 0 11493 11493 11493 11493 692489 11525 11525 117367 323004 376087 65068
all-meshes-CVIU11-pattern1-target192 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target193 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target194 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target195 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target196 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target197 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target198 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target199 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target2 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target20 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target200 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target201 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target202 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target203 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target204 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target205 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target206 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target207 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target208 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target209 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target21 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target210 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target211 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target212 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target213 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target214 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target215 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target216 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target217 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target218 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target219 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target22 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target220 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target221 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target222 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target223 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target224 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target225 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target226 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target227 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target228 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target229 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target23 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target230 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target231 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target232 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target233 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target234 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target235 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target237 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target238 13 0 1 1 1 1 3 1 1 1 4 5 6
all-meshes-CVIU11-pattern1-target24 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target240 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target241 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target242 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target243 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target244 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target245 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target246 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target247 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target248 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target249 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target25 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target250 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target251 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target252 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target253 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target254 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target255 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target256 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target257 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target258 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target26 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target260 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target261 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target262 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target263 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target264 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target265 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target266 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target267 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target268 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target269 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target27 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target270 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target271 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target272 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target273 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target275 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target278 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target279 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target28 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target280 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target281 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target282 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target283 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target284 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target285 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target286 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target287 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target288 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target289 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target29 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target290 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target291 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target292 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target293 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target294 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target295 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target296 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target297 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target298 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target299 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target3 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target30 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target300 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target303 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target304 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target305 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target306 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target307 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target308 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target309 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target31 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target310 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target311 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target312 13 0 2 2 2 2 7 2 2 2 8 8 8
all-meshes-CVIU11-pattern1-target313 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target314 13 0 1 1 1 1 2 1 1 1 3 3 3
all-meshes-CVIU11-pattern1-target315 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target316 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target317 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target318 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target319 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target32 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target320 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target321 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target322 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target323 13 0 1 1 1 1 2 1 1 1 2 3 2
all-meshes-CVIU11-pattern1-target324 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target325 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target326 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target327 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target328 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target329 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target33 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target330 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target331 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target332 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target333 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target334 13 0 259 259 259 259 2663 259 259 259 5387 5612 3468
all-meshes-CVIU11-pattern1-target335 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target336 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target337 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target338 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target339 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target34 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target340 13 0 1 1 1 1 3 1 1 1 6 6 5
all-meshes-CVIU11-pattern1-target341 13 0 1 1 1 1 3 1 1 1 4 4 4
all-meshes-CVIU11-pattern1-target342 13 0 2095 2095 2095 2095 352533 2099 2101 7390 49735 42131 36820
all-meshes-CVIU11-pattern1-target343 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target344 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target345 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target346 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target347 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target348 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target349 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target35 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target350 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target351 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target352 13 0 1 1 1 1 2 1 1 1 3 3 3
all-meshes-CVIU11-pattern1-target353 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target354 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target356 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target357 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target358 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target359 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target36 13 0 1 1 1 1 2 1 1 1 2 2 2
all-meshes-CVIU11-pattern1-target360 13 0 1 1 1 1 2 1 1 1 2 2 3
all-meshes-CVIU11-pattern1-target361 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target362 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target363 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target364 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target365 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target366 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target367 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target368 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target369 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target37 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target370 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target378 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target379 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target38 13 0 910 910 910 910 66459 911 911 2233 18053 19370 12683
all-meshes-CVIU11-pattern1-target380 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target381 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target382 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target383 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target384 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target385 13 0 1143 1143 1143 1143 44737 1145 1145 2472 24021 32088 11432
all-meshes-CVIU11-pattern1-target386 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target387 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target388 13 0 1 1 1 1 3 1 1 1 3 5 3
all-meshes-CVIU11-pattern1-target389 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target39 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target390 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target391 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target392 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target393 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target394 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target395 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target396 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target397 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target398 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target399 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target4 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target40 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target400 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target401 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target402 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target403 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target404 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target405 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target406 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target407 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target408 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target409 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target41 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target410 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target411 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target412 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target413 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target414 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target415 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target416 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target417 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target418 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target419 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target42 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target420 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target421 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target422 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target423 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target424 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target425 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target427 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target428 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target429 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target43 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target430 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target431 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target432 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target433 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target434 13 0 1 1 1 1 2 1 1 1 3 2 3
all-meshes-CVIU11-pattern1-target435 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target436 13 0 1 1 1 1 3 1 1 1 4 4 3
all-meshes-CVIU11-pattern1-target437 13 0 0 0 0 0 0 0 0 0 0 0 0
all-meshes-CVIU11-pattern1-target438 13 0 0 0 0 0 0 0 0 0 0 0 0
